ID,Kanji JLPT,Level JLPT,Kanji Kanken,Level Kanken
764,昭,N2,昭,Cấp 8
765,士,N2,士,Cấp 6
766,健,N2,健,Cấp 7
767,康,N2,康,Cấp 7
768,診,N2,診,Tiền cấp 2
769,療,N2,療,Cấp 4
770,命,N2,命,Cấp 8
771,異,N2,異,Cấp 5
772,背,N2,背,Cấp 5
773,腹,N2,腹,Cấp 5
774,肩,N2,肩,Cấp 4
775,腕,N2,腕,Cấp 4
776,胸,N2,胸,Cấp 5
777,腰,N2,腰,Cấp 4
778,脳,N2,脳,Cấp 5
779,臓,N2,臓,Cấp 5
780,胃,N2,胃,Cấp 5
781,筋,N2,筋,Cấp 5
782,骨,N2,骨,Cấp 5
783,節,N2,節,Cấp 7
784,症,N2,症,Tiền cấp 2
785,状,N2,状,Cấp 6
786,因,N2,因,Cấp 6
787,況,N2,況,Cấp 4
788,態,N2,態,Cấp 6
789,圧,N2,圧,Cấp 6
790,傷,N2,傷,Cấp 5
791,処,N2,処,Cấp 5
792,触,N2,触,Cấp 4
793,針,N2,針,Cấp 5
794,抜,N2,抜,Cấp 4
795,皮,N2,皮,Cấp 8
796,忙,N2,忙,Cấp 4
797,疲,N2,疲,Cấp 4
798,慣,N2,慣,Cấp 6
799,競,N2,競,Cấp 7
800,養,N2,養,Cấp 7
801,兼,N2,兼,Cấp 4
802,就,N2,就,Cấp 5
803,従,N2,従,Cấp 5
804,応,N2,応,Cấp 6
805,訪,N2,訪,Cấp 5
806,課,N2,課,Cấp 7
807,論,N2,論,Cấp 5
808,採,N2,採,Cấp 6
809,募,N2,募,Cấp 3
810,雇,N2,雇,Cấp 3
811,適,N2,適,Cấp 6
812,般,N2,般,Cấp 4
813,総,N2,総,Cấp 6
814,企,N2,企,Cấp 3
815,案,N2,案,Cấp 7
816,依,N2,依,Cấp 4
817,頼,N2,頼,Cấp 4
818,比,N2,比,Cấp 6
819,較,N2,較,Cấp 4
820,評,N2,評,Cấp 6
821,価,N2,価,Cấp 6
822,改,N2,改,Cấp 7
823,善,N2,善,Cấp 5
824,勤,N2,勤,Cấp 5
825,務,N2,務,Cấp 6
826,営,N2,営,Cấp 6
827,景,N2,景,Cấp 7
828,資,N2,資,Cấp 6
829,役,N2,役,Cấp 8
830,拡,N2,拡,Cấp 5
831,縮,N2,縮,Cấp 5
832,販,N2,販,Cấp 4
833,略,N2,略,Cấp 6
834,値,N2,値,Cấp 5
835,額,N2,額,Cấp 6
836,購,N2,購,Tiền cấp 2
837,納,N2,納,Cấp 5
838,益,N2,益,Cấp 6
839,財,N2,財,Cấp 6
840,損,N2,損,Cấp 6
841,得,N2,得,Cấp 6
842,株,N2,株,Cấp 5
843,債,N2,債,Cấp 3
844,充,N2,充,Tiền cấp 2
845,余,N2,余,Cấp 6
846,加,N2,加,Cấp 7
847,除,N2,除,Cấp 5
848,増,N2,増,Cấp 6
849,減,N2,減,Cấp 6
850,版,N2,版,Cấp 6
851,編,N2,編,Cấp 6
852,片,N2,片,Cấp 5
853,裏,N2,裏,Cấp 5
854,章,N2,章,Cấp 8
855,幅,N2,幅,Cấp 4
856,毒,N2,毒,Cấp 6
857,殺,N2,殺,Cấp 6
858,責,N2,責,Cấp 6
859,逃,N2,逃,Cấp 4
860,暴,N2,暴,Cấp 6
861,恐,N2,恐,Cấp 4
862,緊,N2,緊,Cấp 3
863,張,N2,張,Cấp 6
864,破,N2,破,Cấp 6
865,割,N2,割,Cấp 5
866,別,N2,別,Cấp 7
867,離,N2,離,Cấp 4
868,殴,N2,殴,Cấp 3
869,叫,N2,叫,Cấp 4
870,怖,N2,怖,Cấp 4
871,嫌,N2,嫌,Tiền cấp 2
872,憎,N2,憎,Cấp 3
873,恥,N2,恥,Cấp 4
874,犯,N2,犯,Cấp 6
875,罪,N2,罪,Cấp 6
876,容,N2,容,Cấp 6
877,疑,N2,疑,Cấp 5
878,件,N2,件,Cấp 6
879,迷,N2,迷,Cấp 6
880,印,N2,印,Cấp 7
881,象,N2,象,Cấp 6
882,誘,N2,誘,Cấp 3
883,勧,N2,勧,Cấp 4
884,刃,N2,刃,Tiền cấp 2
885,盗,N2,盗,Cấp 4
886,周,N2,周,Cấp 7
887,囲,N2,囲,Cấp 6
888,協,N2,協,Cấp 7
889,互,N2,互,Cấp 4
890,共,N2,共,Cấp 7
891,我,N2,我,Cấp 5
892,皆,N2,皆,Cấp 4
893,緒,N2,緒,Tiền cấp 2
894,謝,N2,謝,Cấp 6
895,励,N2,励,Cấp 3
896,抱,N2,抱,Cấp 4
897,握,N2,握,Cấp 4
898,僕,N2,僕,Tiền cấp 2
899,輩,N2,輩,Cấp 4
900,僚,N2,僚,Tiền cấp 2
901,誰,N2,誰,Cấp 2
902,遊,N2,遊,Cấp 8
903,冗,N2,冗,Cấp 3
904,尊,N2,尊,Cấp 5
905,敬,N2,敬,Cấp 5
906,申,N2,申,Cấp 8
907,参,N2,参,Cấp 7
908,致,N2,致,Cấp 4
909,御,N2,御,Cấp 4
910,召,N2,召,Cấp 4
911,拝,N2,拝,Cấp 5
912,了,N2,了,Cấp 3
913,承,N2,承,Cấp 5
914,伺,N2,伺,Cấp 4
915,頂,N2,頂,Cấp 5
916,乾,N2,乾,Cấp 4
917,燥,N2,燥,Cấp 4
918,湿,N2,湿,Cấp 3
919,涼,N2,涼,Tiền cấp 2
920,雷,N2,雷,Cấp 4
921,嵐,N2,嵐,Cấp 2
922,災,N2,災,Cấp 6
923,害,N2,害,Cấp 7
924,震,N2,震,Cấp 4
925,防,N2,防,Cấp 6
926,影,N2,影,Cấp 4
927,響,N2,響,Cấp 4
928,被,N2,被,Cấp 4
929,壊,N2,壊,Cấp 4
930,傾,N2,傾,Cấp 4
931,噴,N2,噴,Cấp 4
932,崩,N2,崩,Cấp 3
933,炎,N2,炎,Cấp 3
934,洪,N2,洪,Tiền cấp 2
935,波,N2,波,Cấp 8
936,津,N2,津,Tiền cấp 2
937,荒,N2,荒,Cấp 4
938,激,N2,激,Cấp 5
939,吹,N2,吹,Cấp 4
940,援,N2,援,Cấp 4
941,避,N2,避,Cấp 4
942,埋,N2,埋,Cấp 3
943,泥,N2,泥,Tiền cấp 2
944,浮,N2,浮,Cấp 4
945,沈,N2,沈,Cấp 4
946,講,N2,講,Cấp 6
947,義,N2,義,Cấp 6
948,導,N2,導,Cấp 6
949,専,N2,専,Cấp 5
950,限,N2,限,Cấp 6
951,修,N2,修,Cấp 6
952,述,N2,述,Cấp 6
953,基,N2,基,Cấp 6
954,博,N2,博,Cấp 7
955,将,N2,将,Cấp 5
956,塾,N2,塾,Tiền cấp 2
957,簿,N2,簿,Cấp 3
958,法,N2,法,Cấp 7
959,律,N2,律,Cấp 5
960,規,N2,規,Cấp 6
961,則,N2,則,Cấp 6
962,禁,N2,禁,Cấp 6
963,許,N2,許,Cấp 6
964,警,N2,警,Cấp 5
965,察,N2,察,Cấp 7
966,署,N2,署,Cấp 5
967,捕,N2,捕,Cấp 4
968,訓,N2,訓,Cấp 7
969,乱,N2,乱,Cấp 5
970,産,N2,産,Cấp 7
971,農,N2,農,Cấp 8
972,貧,N2,貧,Cấp 6
973,富,N2,富,Cấp 7
974,豊,N2,豊,Cấp 6
975,等,N2,等,Cấp 8
976,畳,N2,畳,Cấp 4
977,床,N2,床,Cấp 4
978,軒,N2,軒,Cấp 4
979,玄,N2,玄,Cấp 4
980,壁,N2,壁,Cấp 4
981,廊,N2,廊,Cấp 3
982,寮,N2,寮,Tiền cấp 2
983,隣,N2,隣,Cấp 4
984,敷,N2,敷,Cấp 4
985,狭,N2,狭,Cấp 4
986,荘,N2,荘,Tiền cấp 2
987,奥,N2,奥,Cấp 4
988,封,N2,封,Cấp 3
989,筒,N2,筒,Tiền cấp 2
990,歳,N2,歳,Cấp 4
991,暮,N2,暮,Cấp 5
992,宛,N2,宛,Cấp 2
993,菓,N2,菓,Cấp 4
994,詰,N2,詰,Cấp 4
995,瓶,N2,瓶,Tiền cấp 2
996,粒,N2,粒,Cấp 4
997,酢,N2,酢,Tiền cấp 2
998,糖,N2,糖,Cấp 5
999,辛,N2,辛,Cấp 3
1000,渋,N2,渋,Tiền cấp 2
1001,滞,N2,滞,Cấp 3
1002,街,N2,街,Cấp 7
1003,往,N2,往,Cấp 6
1004,距,N2,距,Cấp 4
1005,灯,N2,灯,Cấp 7
1006,携,N2,携,Cấp 3
1007,即,N2,即,Cấp 4
1008,稼,N2,稼,Tiền cấp 2
1009,需,N2,需,Cấp 4
1010,拒,N2,拒,Tiền cấp 2
1011,厳,N2,厳,Cấp 5
1012,刷,N2,刷,Cấp 7
1013,枠,N2,枠,Tiền cấp 2
1014,縦,N2,縦,Cấp 5
1015,斜,N2,斜,Cấp 4
1016,端,N2,端,Cấp 4
1017,隅,N2,隅,Tiền cấp 2
1018,堅,N2,堅,Cấp 4
1019,硬,N2,硬,Cấp 3
1020,鋭,N2,鋭,Cấp 4
1021,鈍,N2,鈍,Cấp 4
1022,詳,N2,詳,Cấp 4
1023,簡,N2,簡,Cấp 5
1024,頑,N2,頑,Tiền cấp 2
1025,勇,N2,勇,Cấp 7
1026,賢,N2,賢,Cấp 3
1027,偉,N2,偉,Cấp 4
1028,珍,N2,珍,Cấp 4
1029,帽,N2,帽,Cấp 4
1030,傘,N2,傘,Tiền cấp 2
1031,革,N2,革,Cấp 5
1032,靴,N2,靴,Tiền cấp 2
1033,柄,N2,柄,Cấp 4
1034,装,N2,装,Cấp 5
1035,睡,N2,睡,Tiền cấp 2
1036,眠,N2,眠,Cấp 4
1037,喫,N2,喫,Cấp 3
1038,煙,N2,煙,Cấp 4
1039,脂,N2,脂,Cấp 4
1040,肪,N2,肪,Cấp 4
1041,妊,N2,妊,Tiền cấp 2
1042,娠,N2,娠,Tiền cấp 2
1043,双,N2,双,Cấp 3
1044,誕,N2,誕,Cấp 5
1045,脈,N2,脈,Cấp 6
1046,拍,N2,拍,Cấp 4
1047,看,N2,看,Cấp 5
1048,患,N2,患,Tiền cấp 2
1049,視,N2,視,Cấp 5
1050,眼,N2,眼,Cấp 6
1051,舌,N2,舌,Cấp 5
1052,刺,N2,刺,Cấp 4
1053,齢,N2,齢,Cấp 4
1054,潔,N2,潔,Cấp 6
1055,菌,N2,菌,Tiền cấp 2
1056,剤,N2,剤,Cấp 4
1057,渇,N2,渇,Tiền cấp 2
1058,吐,N2,吐,Cấp 4
1059,肌,N2,肌,Tiền cấp 2
1060,粧,N2,粧,Tiền cấp 2
1061,髪,N2,髪,Cấp 4
1062,脚,N2,脚,Cấp 4
1063,華,N2,華,Cấp 3
1064,鏡,N2,鏡,Cấp 7
1065,桜,N2,桜,Cấp 6
1066,梅,N2,梅,Cấp 7
1067,松,N2,松,Cấp 7
1068,杉,N2,杉,Tiền cấp 2
1069,菊,N2,菊,Cấp 3
1070,綿,N2,綿,Cấp 6
1071,咲,N2,咲,Cấp 4
1072,枯,N2,枯,Cấp 4
1073,枝,N2,枝,Cấp 6
1074,美,N2,美,Cấp 8
1075,香,N2,香,Cấp 7
1076,飾,N2,飾,Cấp 4
1077,紅,N2,紅,Cấp 5
1078,紺,N2,紺,Cấp 3
1079,灰,N2,灰,Cấp 5
1080,紫,N2,紫,Cấp 4
1081,鮮,N2,鮮,Cấp 4
1082,彩,N2,彩,Cấp 4
1083,飼,N2,飼,Cấp 6
1084,与,N2,与,Cấp 4
1085,散,N2,散,Cấp 7
1086,巣,N2,巣,Cấp 7
1087,猫,N2,猫,Tiền cấp 2
1088,羊,N2,羊,Cấp 8
1089,豚,N2,豚,Cấp 3
1090,畜,N2,畜,Cấp 3
1091,放,N2,放,Cấp 8
1092,牧,N2,牧,Cấp 7
1093,絶,N2,絶,Cấp 6
1094,宇,N2,宇,Cấp 5
1095,宙,N2,宙,Cấp 5
1096,環,N2,環,Cấp 4
1097,境,N2,境,Cấp 6
1098,極,N2,極,Cấp 7
1099,昇,N2,昇,Cấp 3
1100,泉,N2,泉,Cấp 5
1101,源,N2,源,Cấp 5
1102,恵,N2,恵,Cấp 4
1103,泡,N2,泡,Tiền cấp 2
1104,井,N2,井,Cấp 7
1105,沢,N2,沢,Cấp 4
1106,滝,N2,滝,Cấp 3
1107,沼,N2,沼,Cấp 4
1108,滴,N2,滴,Cấp 4
1109,凍,N2,凍,Cấp 3
1110,瀬,N2,瀬,Cấp 3
1111,浄,N2,浄,Tiền cấp 2
1112,湾,N2,湾,Cấp 3
1113,沖,N2,沖,Cấp 7
1114,浜,N2,浜,Cấp 4
1115,江,N2,江,Tiền cấp 2
1116,層,N2,層,Cấp 5
1117,砂,N2,砂,Cấp 5
1118,掘,N2,掘,Cấp 4
1119,穴,N2,穴,Cấp 5
1120,洞,N2,洞,Tiền cấp 2
1121,炭,N2,炭,Cấp 8
1122,鉱,N2,鉱,Cấp 6
1123,銅,N2,銅,Cấp 6
1124,宴,N2,宴,Cấp 3
1125,催,N2,催,Cấp 3
1126,寄,N2,寄,Cấp 6
1127,酌,N2,酌,Tiền cấp 2
1128,騒,N2,騒,Cấp 4
1129,踊,N2,踊,Cấp 4
1130,誤,N2,誤,Cấp 5
1131,憶,N2,憶,Cấp 4
1132,延,N2,延,Cấp 5
1133,超,N2,超,Cấp 3
1134,更,N2,更,Cấp 4
1135,徹,N2,徹,Tiền cấp 2
1136,精,N2,精,Cấp 6
1137,像,N2,像,Cấp 6
1138,殿,N2,殿,Cấp 4
1139,坊,N2,坊,Cấp 4
1140,跡,N2,跡,Cấp 4
1141,祈,N2,祈,Cấp 4
1142,条,N2,条,Cấp 6
1143,令,N2,令,Cấp 7
1144,司,N2,司,Cấp 7
1145,制,N2,制,Cấp 6
1146,策,N2,策,Cấp 5
1147,際,N2,際,Cấp 6
1148,孫,N2,孫,Cấp 7
1149,祖,N2,祖,Cấp 6
1150,似,N2,似,Cấp 6
1151,氏,N2,氏,Cấp 7
1152,籍,N2,籍,Cấp 3
1153,偶,N2,偶,Cấp 3
1154,党,N2,党,Cấp 5
1155,民,N2,民,Cấp 7
1156,挙,N2,挙,Cấp 7
1157,委,N2,委,Cấp 8
1158,権,N2,権,Cấp 5
1159,票,N2,票,Cấp 7
1160,省,N2,省,Cấp 7
1161,庁,N2,庁,Cấp 5
1162,完,N2,完,Cấp 7
1163,臣,N2,臣,Cấp 7
1164,争,N2,争,Cấp 7
1165,敗,N2,敗,Cấp 7
1166,統,N2,統,Cấp 6
1167,衆,N2,衆,Cấp 5
1168,秩,N2,秩,Tiền cấp 2
1169,序,N2,序,Cấp 6
1170,閣,N2,閣,Cấp 5
1171,批,N2,批,Cấp 5
1172,軍,N2,軍,Cấp 7
1173,兵,N2,兵,Cấp 7
1174,隊,N2,隊,Cấp 7
1175,銃,N2,銃,Tiền cấp 2
1176,砲,N2,砲,Cấp 4
1177,核,N2,核,Tiền cấp 2
1178,攻,N2,攻,Cấp 4
1179,撃,N2,撃,Cấp 4
1180,爆,N2,爆,Cấp 4
1181,弾,N2,弾,Cấp 4
1182,射,N2,射,Cấp 5
1183,武,N2,武,Cấp 6
1184,敵,N2,敵,Cấp 5
1185,侵,N2,侵,Cấp 4
1186,迫,N2,迫,Cấp 4
1187,脅,N2,脅,Cấp 3
1188,屈,N2,屈,Cấp 4
1189,討,N2,討,Cấp 5
1190,衛,N2,衛,Cấp 6
1191,盟,N2,盟,Cấp 5
1192,領,N2,領,Cấp 6
1193,占,N2,占,Cấp 4
1194,裁,N2,裁,Cấp 5
1195,捜,N2,捜,Tiền cấp 2
1196,護,N2,護,Cấp 6
1197,刑,N2,刑,Cấp 3
1198,罰,N2,罰,Cấp 4
1199,阪,N2,阪,Cấp 7
1200,埼,N2,埼,Cấp 7
1201,栃,N2,栃,Cấp 7
1202,茨,N2,茨,Cấp 7
1203,梨,N2,梨,Cấp 7
1204,群,N2,群,Cấp 7
1205,鹿,N2,鹿,Cấp 7
1206,奈,N2,奈,Cấp 7
1207,媛,N2,媛,Cấp 7
1208,岐,N2,岐,Cấp 7
1209,阜,N2,阜,Cấp 7
1210,岡,N2,岡,Cấp 7
1211,崎,N2,崎,Cấp 7
1212,丘,N2,丘,Cấp 4
1213,丁,N2,丁,Cấp 8
1214,塚,N2,塚,Tiền cấp 2
1215,撮,N1,撮,Cấp 3
1216,拭,N1,拭,Cấp 2
1217,貼,N1,貼,Cấp 2
1218,磨,N1,磨,Tiền cấp 2
1219,塗,N1,塗,Cấp 3
1220,浸,N1,浸,Cấp 4
1221,扱,N1,扱,Cấp 4
1222,為,N1,為,Cấp 4
1223,聴,N1,聴,Cấp 3
1224,眺,N1,眺,Tiền cấp 2
1225,叱,N1,叱,Cấp 2
1226,黙,N1,黙,Cấp 4
1227,唱,N1,唯,Tiền cấp 2
1228,狙,N1,狙,Cấp 2
1229,蓄,N1,蓄,Cấp 4
1230,操,N1,操,Cấp 5
1231,掲,N1,掲,Cấp 3
1232,伏,N1,伏,Cấp 3
1233,隠,N1,隠,Cấp 4
1234,潜,N1,潜,Cấp 3
1235,駆,N1,駆,Cấp 4
1236,踏,N1,踏,Cấp 4
1237,跳,N1,跳,Cấp 4
1238,躍,N1,躍,Cấp 4
1239,添,N1,添,Cấp 4
1240,伴,N1,伴,Cấp 3
1241,裂,N1,裂,Cấp 3
1242,奪,N1,奪,Cấp 3
1243,妨,N1,妨,Cấp 3
1244,遮,N1,遮,Tiền cấp 2
1245,抑,N1,抑,Cấp 3
1246,揺,N1,揺,Cấp 3
1247,挑,N1,挑,Tiền cấp 2
1248,尽,N1,尽,Cấp 4
1249,耐,N1,耐,Cấp 4
1250,悟,N1,悟,Cấp 3
1251,焦,N1,焦,Cấp 3
1252,慌,N1,慌,Cấp 3
1253,諦,N1,諦,Cấp 2
1254,誓,N1,誓,Tiền cấp 2
1255,履,N1,履,Tiền cấp 2
1256,締,N1,締,Cấp 3
1257,削,N1,削,Cấp 3
1258,砕,N1,砕,Tiền cấp 2
1259,挿,N1,挿,Tiền cấp 2
1260,挟,N1,挟,Tiền cấp 2
1261,縫,N1,縫,Cấp 3
1262,覆,N1,覆,Cấp 3
1263,遂,N1,遂,Cấp 3
1264,偽,N1,偽,Tiền cấp 2
1265,控,N1,控,Cấp 3
1266,輝,N1,輝,Cấp 4
1267,慎,N1,慎,Cấp 4
1268,憩,N1,憩,Cấp 3
1269,惑,N1,惑,Cấp 4
1270,諭,N1,諭,Tiền cấp 2
1271,及,N1,及,Cấp 4
1272,紛,N1,紛,Cấp 3
1273,免,N1,免,Cấp 3
1274,併,N1,併,Tiền cấp 2
1275,劣,N1,劣,Cấp 4
1276,隔,N1,隔,Cấp 3
1277,興,N1,興,Cấp 6
1278,潰,N1,潰,Cấp 2
1279,忍,N1,忍,Tiền cấp 2
1280,狂,N1,狂,Cấp 4
1281,粘,N1,粘,Cấp 3
1282,惜,N1,惜,Cấp 3
1283,嘆,N1,嘆,Cấp 4
1284,驚,N1,驚,Cấp 4
1285,奮,N1,奮,Cấp 5
1286,貪,N1,貪,Cấp 2
1287,尋,N1,尋,Cấp 4
1288,促,N1,促,Cấp 3
1289,譲,N1,譲,Cấp 3
1290,陥,N1,陥,Tiền cấp 2
1291,侮,N1,侮,Tiền cấp 2
1292,辱,N1,辱,Cấp 3
1293,褒,N1,褒,Tiền cấp 2
1294,慰,N1,慰,Cấp 3
1295,嫁,N1,嫁,Cấp 3
1296,婿,N1,婿,Cấp 3
1297,縁,N1,縁,Cấp 4
1298,戚,N1,戚,Cấp 2
1299,系,N1,系,Cấp 5
1300,姻,N1,姻,Tiền cấp 2
1301,伯,N1,伯,Tiền cấp 2
1302,叔,N1,叔,Tiền cấp 2
1303,紳,N1,紳,Tiền cấp 2
1304,淑,N1,淑,Tiền cấp 2
1305,嬢,N1,嬢,Cấp 3
1306,婆,N1,婆,Cấp 3
1307,涯,N1,涯,Tiền cấp 2
1308,侶,N1,侶,Cấp 2
1309,恩,N1,恩,Cấp 5
1310,孝,N1,孝,Cấp 5
1311,称,N1,称,Cấp 4
1312,俺,N1,俺,Cấp 2
1313,郎,N1,郎,Cấp 4
1314,己,N1,己,Cấp 5
1315,扶,N1,扶,Tiền cấp 2
1316,匿,N1,匿,Cấp 3
1317,孤,N1,孤,Cấp 3
1318,寂,N1,寂,Cấp 4
1319,慈,N1,慈,Cấp 3
1320,慕,N1,慕,Cấp 3
1321,懐,N1,懐,Tiền cấp 2
1322,銘,N1,銘,Tiền cấp 2
1323,誇,N1,誇,Cấp 4
1324,悦,N1,悦,Cấp 3
1325,慮,N1,慮,Cấp 4
1326,衰,N1,衰,Cấp 3
1327,憧,N1,憧,Cấp 2
1328,羨,N1,羨,Cấp 2
1329,憤,N1,憤,Tiền cấp 2
1330,慨,N1,慨,Cấp 3
1331,嫉,N1,嫉,Cấp 2
1332,妬,N1,妬,Cấp 2
1333,怪,N1,怪,Cấp 3
1334,恨,N1,恨,Cấp 3
1335,桃,N1,桃,Cấp 4
1336,柿,N1,柿,Cấp 2
1337,芋,N1,芋,Cấp 4
1338,栗,N1,,
1339,旬,N1,旬,Cấp 4
1340,房,N1,房,Cấp 3
1341,絞,N1,絞,Cấp 3
1342,盆,N1,盆,Cấp 4
1343,沸,N1,沸,Tiền cấp 2
1344,謄,N1,謄,Tiền cấp 2
1345,煮,N1,煮,Cấp 4
1346,炊,N1,炊,Cấp 3
1347,揚,N1,揚,Cấp 3
1348,炒,N1,,
1349,蒸,N1,蒸,Cấp 5
1350,漬,N1,漬,Tiền cấp 2
1351,舎,N1,舎,Cấp 6
1352,垣,N1,垣,Tiền cấp 2
1353,邸,N1,邸,Tiền cấp 2
1354,亭,N1,亭,Tiền cấp 2
1355,郊,N1,郊,Cấp 3
1356,棟,N1,棟,Tiền cấp 2
1357,倉,N1,倉,Cấp 7
1358,綱,N1,綱,Cấp 3
1359,箸,N1,箸,Cấp 2
1360,椀,N1,,
1361,鉢,N1,鉢,Tiền cấp 2
1362,串,N1,串,Cấp 2
1363,鍋,N1,鍋,Cấp 2
1364,巾,N1,巾,Cấp 2
1365,縄,N1,縄,Cấp 7
1366,網,N1,網,Cấp 4
1367,扉,N1,扉,Tiền cấp 2
1368,棚,N1,棚,Tiền cấp 2
1369,卓,N1,卓,Cấp 3
1370,炉,N1,炉,Cấp 3
1371,呂,N1,呂,Cấp 2
1372,栓,N1,栓,Tiền cấp 2
1373,鍵,N1,鍵,Cấp 2
1374,枕,N1,枕,Cấp 2
1375,穏,N1,穏,Cấp 3
1376,朗,N1,朗,Cấp 5
1377,稚,N1,稚,Cấp 3
1378,怠,N1,怠,Cấp 3
1379,惰,N1,惰,Tiền cấp 2
1380,寛,N1,寛,Tiền cấp 2
1381,陰,N1,陰,Cấp 4
1382,卑,N1,卑,Cấp 3
1383,暇,N1,暇,Cấp 4
1384,凡,N1,凡,Cấp 4
1385,裕,N1,裕,Tiền cấp 2
1386,乏,N1,乏,Cấp 3
1387,剛,N1,剛,Tiền cấp 2
1388,俊,N1,俊,Tiền cấp 2
1389,敏,N1,敏,Cấp 4
1390,悠,N1,悠,Tiền cấp 2
1391,悔,N1,悔,Cấp 3
1392,哀,N1,哀,Cấp 3
1393,愉,N1,愉,Tiền cấp 2
1394,飽,N1,飽,Cấp 3
1395,煩,N1,煩,Tiền cấp 2
1396,惨,N1,惨,Cấp 4
1397,愁,N1,愁,Tiền cấp 2
1398,憂,N1,憂,Cấp 3
1399,魅,N1,魅,Cấp 3
1400,愚,N1,愚,Cấp 3
1401,凝,N1,凝,Cấp 3
1402,妄,N1,妄,Tiền cấp 2
1403,豪,N1,豪,Cấp 4
1404,敢,N1,敢,Cấp 3
1405,猛,N1,猛,Cấp 4
1406,烈,N1,烈,Cấp 4
1407,矛,N1,矛,Cấp 4
1408,盾,N1,盾,Cấp 4
1409,迅,N1,迅,Tiền cấp 2
1410,奇,N1,奇,Cấp 4
1411,妙,N1,妙,Cấp 4
1412,巧,N1,巧,Cấp 3
1413,瞭,N1,瞭,Cấp 2
1414,衡,N1,衡,Tiền cấp 2
1415,滑,N1,滑,Cấp 3
1416,濁,N1,濁,Cấp 4
1417,澄,N1,澄,Cấp 4
1418,透,N1,透,Cấp 4
1419,潤,N1,潤,Cấp 3
1420,熟,N1,熟,Cấp 5
1421,腐,N1,腐,Cấp 4
1422,臭,N1,臭,Tiền cấp 2
1423,丈,N1,丈,Cấp 4
1424,粗,N1,粗,Cấp 3
1425,緩,N1,緩,Cấp 3
1426,匂,N1,匂,Cấp 2
1427,芳,N1,芳,Cấp 3
1428,膨,N1,膨,Cấp 3
1429,唯,N1,唐,Cấp 4
1430,殊,N1,殊,Cấp 3
1431,雰,N1,雰,Tiền cấp 2
1432,壮,N1,壮,Tiền cấp 2
1433,閑,N1,閑,Tiền cấp 2
1434,剰,N1,剰,Tiền cấp 2
1435,疎,N1,疎,Tiền cấp 2
1436,滅,N1,滅,Cấp 3
1437,粋,N1,粋,Cấp 3
1438,沿,N1,沿,Cấp 5
1439,斉,N1,斉,Tiền cấp 2
1440,至,N1,至,Cấp 5
1441,逐,N1,逐,Tiền cấp 2
1442,寧,N1,寧,Tiền cấp 2
1443,且,N1,且,Tiền cấp 2
1444,但,N1,但,Tiền cấp 2
1445,宜,N1,宜,Tiền cấp 2
1446,錯,N1,錯,Cấp 3
1447,瞬,N1,瞬,Cấp 4
1448,頃,N1,頃,Cấp 2
1449,頻,N1,頻,Tiền cấp 2
1450,徐,N1,徐,Cấp 3
1451,微,N1,微,Cấp 4
1452,恒,N1,恒,Cấp 4
1453,既,N1,既,Cấp 3
1454,又,N1,又,Cấp 3
1455,芽,N1,芽,Cấp 7
1456,苗,N1,苗,Cấp 3
1457,茎,N1,茎,Tiền cấp 2
1458,幹,N1,幹,Cấp 6
1459,樹,N1,樹,Cấp 5
1460,伐,N1,伐,Cấp 3
1461,柳,N1,柳,Tiền cấp 2
1462,垂,N1,垂,Cấp 5
1463,芝,N1,芝,Cấp 4
1464,茂,N1,茂,Cấp 4
1465,凹,N1,凹,Tiền cấp 2
1466,凸,N1,凸,Tiền cấp 2
1467,氾,N1,氾,Cấp 2
1468,濫,N1,濫,Cấp 3
1469,堤,N1,堤,Cấp 4
1470,溝,N1,溝,Tiền cấp 2
1471,潮,N1,潮,Cấp 5
1472,浪,N1,浪,Cấp 3
1473,没,N1,没,Cấp 3
