kanji,jlpt,onyomi,kunyomi
氏,N1,シ,うじ;-うじ
統,N1,トウ,す.べる
第,N1,ダイ;テイ,
派,N1,ハ,
挙,N1,キョ,あ.げる;あ.がる;こぞ.る
宮,N1,キュウ;グウ;ク;クウ,みや
策,N1,サク,
提,N1,テイ;チョウ;ダイ,さ.げる
結,N1,ケツ;ケチ,むす.ぶ;ゆ.う;ゆ.わえる
井,N1,セイ;ショウ,い
保,N1,ホ;ホウ,たも.つ
証,N1,ショウ,あかし
案,N1,アン,つくえ
護,N1,ゴ,まも.る
態,N1,タイ,わざ.と
裁,N1,サイ,た.つ;さば.く
幹,N1,カン,みき
松,N1,ショウ,まつ
佐,N1,サ,
票,N1,ヒョウ,
衛,N1,エイ;エ,
義,N1,ギ,
昭,N1,ショウ,
崎,N1,キ,さき;さい;みさき
視,N1,シ,み.る
企,N1,キ,くわだ.てる;たくら.む
藤,N1,トウ;ドウ,ふじ
沢,N1,タク,さわ;うるお.い;うるお.す;つや
基,N1,キ,もと;もとい
隊,N1,タイ,
援,N1,エン,
価,N1,カ;ケ,あたい
施,N1,シ;セ,ほどこ.す
矢,N1,シ,や
株,N1,シュ,かぶ
士,N1,シ,さむらい
姿,N1,シ,すがた
応,N1,オウ;ヨウ;-ノウ,あた.る;まさに;こた.える
閣,N1,カク,
衆,N1,シュウ;シュ,おお.い
鮮,N1,セン,あざ.やか
整,N1,セイ,ととの.える;ととの.う
検,N1,ケン,しら.べる
織,N1,ショク;シキ,お.る;お.り;おり;-おり;-お.り
推,N1,スイ,お.す
弁,N1,ベン;ヘン,かんむり;わきま.える;わ.ける;はなびら;あらそ.う
討,N1,トウ,う.つ
博,N1,ハク;バク,
監,N1,カン,
審,N1,シン,つまび.らか;つぶさ.に
素,N1,ソ;ス,もと
憲,N1,ケン,
激,N1,ゲキ,はげ.しい
奈,N1,ナ;ナイ;ダイ,いかん;からなし
益,N1,エキ;ヤク,ま.す
系,N1,ケイ,
訴,N1,ソ,うった.える
功,N1,コウ;ク,いさお
盟,N1,メイ,
養,N1,ヨウ;リョウ,やしな.う
街,N1,ガイ;カイ,まち
詩,N1,シ,うた
刀,N1,トウ,かたな;そり
弓,N1,キュウ,ゆみ
従,N1,ジュウ;ショウ;ジュ,したが.う;したが.える;より
条,N1,ジョウ;チョウ;デキ,えだ;すじ
独,N1,ドク;トク,ひと.り
興,N1,コウ;キョウ,おこ.る;おこ.す
影,N1,エイ,かげ
沖,N1,チュウ,おき;おきつ;ちゅう.する;わく
就,N1,シュウ;ジュ,つ.く;つ.ける
撃,N1,ゲキ,う.つ
核,N1,カク,
厳,N1,ゲン;ゴン,おごそ.か;きび.しい;いか.めしい;いつくし
鹿,N1,ロク,しか;か
率,N1,ソツ;リツ;シュツ,ひき.いる
融,N1,ユウ,と.ける;と.かす
郡,N1,グン,こおり
遺,N1,イ;ユイ,のこ.す
紀,N1,キ,
丁,N1,チョウ;テイ;チン;トウ;チ,ひのと
渉,N1,ショウ,わた.る
模,N1,モ;ボ,
響,N1,キョウ,ひび.く
張,N1,チョウ,は.る;-は.り;-ば.り
汽,N1,キ,
宣,N1,セン,のたま.う
請,N1,セイ;シン;ショウ,こ.う;う.ける
器,N1,キ,うつわ
典,N1,テン;デン,ふみ;のり
展,N1,テン,
賀,N1,ガ,
攻,N1,コウ,せ.める
豆,N1,トウ;ズ,まめ;まめ-
盛,N1,セイ;ジョウ,も.る;さか.る;さか.ん
督,N1,トク,
催,N1,サイ,もよう.す;もよお.す
縄,N1,ジョウ,なわ;ただ.す
皇,N1,コウ;オウ,
臨,N1,リン,のぞ.む
及,N1,キュウ,およ.ぶ;およ.び;および;およ.ぼす
徳,N1,トク,
帳,N1,チョウ,とばり
熊,N1,ユウ,くま
源,N1,ゲン,みなもと
離,N1,リ,はな.れる;はな.す
創,N1,ソウ;ショウ,つく.る;はじ.める;きず;けず.しける
障,N1,ショウ,さわ.る
倉,N1,ソウ,くら
筋,N1,キン,すじ
唱,N1,ショウ,とな.える
摘,N1,テキ,つ.む
評,N1,ヒョウ,
郎,N1,ロウ;リョウ,おとこ
属,N1,ゾク;ショク,さかん;つく;やから
健,N1,ケン,すこ.やか
級,N1,キュウ,
旗,N1,キ,はた
潟,N1,セキ,かた;-がた
製,N1,セイ,
災,N1,サイ,わざわ.い
密,N1,ミツ,ひそ.か
振,N1,シン,ふ.る;ふ.れる;ふ.るう
梅,N1,バイ,うめ
我,N1,ガ,われ;わ;わ.が-;わが-
幕,N1,マク;バク,とばり
染,N1,セン,そ.める;そ.まる;し.みる;し.み
傷,N1,ショウ,きず;いた.む;いた.める
献,N1,ケン;コン,たてまつ.る
謝,N1,シャ,あやま.る
維,N1,イ,
浜,N1,ヒン,はま
秘,N1,ヒ,ひ.める;ひそ.か;かく.す
塁,N1,ルイ;ライ;スイ,とりで
邦,N1,ホウ,くに
遣,N1,ケン,つか.う;-つか.い;-づか.い;つか.わす;や.る
梨,N1,リ,なし
抗,N1,コウ,あらが.う
授,N1,ジュ,さず.ける;さず.かる
雄,N1,ユウ,お-;おす;おん
緊,N1,キン,し.める;し.まる
牧,N1,ボク,まき
縮,N1,シュク,ちぢ.む;ちぢ.まる;ちぢ.める;ちぢ.れる;ちぢ.らす
標,N1,ヒョウ,しるべ;しるし
羊,N1,ヨウ,ひつじ
廃,N1,ハイ,すた.れる;すた.る
射,N1,シャ,い.る;さ.す;う.つ
江,N1,コウ,え
僚,N1,リョウ,
揮,N1,キ,ふる.う
吉,N1,キチ;キツ,よし
岐,N1,キ;ギ,
径,N1,ケイ,みち;こみち;さしわたし;ただちに
笛,N1,テキ,ふえ
踏,N1,トウ,ふ.む;ふ.まえる
序,N1,ジョ,つい.で;ついで
壊,N1,カイ;エ,こわ.す;こわ.れる;やぶ.る
貴,N1,キ,たっと.い;とうと.い;たっと.ぶ;とうと.ぶ
債,N1,サイ,
舎,N1,シャ;セキ,やど.る
儀,N1,ギ,
納,N1,ノウ;ナッ;ナ;ナン;トウ,おさ.める;-おさ.める;おさ.まる
樹,N1,ジュ,き
継,N1,ケイ,つ.ぐ;まま-
至,N1,シ,いた.る
宗,N1,シュウ;ソウ,むね
闘,N1,トウ,たたか.う;あらそ.う
鏡,N1,キョウ;ケイ,かがみ
修,N1,シュウ;シュ,おさ.める;おさ.まる
葬,N1,ソウ,ほうむ.る
避,N1,ヒ,さ.ける;よ.ける
銭,N1,セン;ゼン,ぜに;すき
司,N1,シ,つかさど.る
康,N1,コウ,
酸,N1,サン,す.い
故,N1,コ,ゆえ;ふる.い;もと
逮,N1,タイ,
誕,N1,タン,
迫,N1,ハク,せま.る
桜,N1,オウ;ヨウ,さくら
惑,N1,ワク,まど.う
句,N1,ク,
崩,N1,ホウ,くず.れる;-くず.れ;くず.す
聴,N1,チョウ;テイ,き.く;ゆる.す
滋,N1,ジ;シ,
脱,N1,ダツ,ぬ.ぐ;ぬ.げる
訳,N1,ヤク,わけ
伊,N1,イ,かれ
巣,N1,ソウ,す;す.くう
締,N1,テイ,し.まる;し.まり;し.める;-し.め;-じ.め
執,N1,シツ;シュウ,と.る
奏,N1,ソウ,かな.でる
郷,N1,キョウ;ゴウ,さと
房,N1,ボウ,ふさ
撤,N1,テツ,
削,N1,サク,けず.る;はつ.る;そ.ぐ
措,N1,ソ,お.く
環,N1,カン,わ
己,N1,コ;キ,おのれ;つちのと;な
載,N1,サイ,の.せる;の.る
陣,N1,ジン,
為,N1,イ,ため;な.る;な.す;す.る;たり;つく.る;なり
抑,N1,ヨク,おさ.える
忠,N1,チュウ,
墓,N1,ボ,はか
沿,N1,エン,そ.う;-ぞ.い
芽,N1,ガ,め
誠,N1,セイ,まこと
択,N1,タク,えら.ぶ
秀,N1,シュウ,ひい.でる
徴,N1,チョウ;チ,しるし
批,N1,ヒ,
俳,N1,ハイ,
弾,N1,ダン;タン,ひ.く;-ひ.き;はず.む;たま;はじ.く;はじ.ける;ただ.す;はじ.きゆみ
償,N1,ショウ,つぐな.う
拠,N1,キョ;コ,よ.る
拒,N1,キョ;ゴ,こば.む
刑,N1,ケイ,
媛,N1,エン,ひめ
塚,N1,チョウ,つか;-づか
致,N1,チ,いた.す
飼,N1,シ,か.う
繰,N1,ソウ,く.る
聖,N1,セイ;ショウ,ひじり
尾,N1,ビ,お
描,N1,ビョウ,えが.く;か.く
鈴,N1,レイ;リン,すず
盤,N1,バン,
項,N1,コウ,うなじ
喪,N1,ソウ,も
伴,N1,ハン;バン,ともな.う
往,N1,オウ,い.く;いにしえ;さき.に;ゆ.く
懸,N1,ケン;ケ,か.ける;か.かる
契,N1,ケイ,ちぎ.る
掲,N1,ケイ,かか.げる
躍,N1,ヤク,おど.る
棄,N1,キ,す.てる
敵,N1,テキ,かたき;あだ;かな.う
邸,N1,テイ,やしき
還,N1,カン,かえ.る
慮,N1,リョ,おもんぱく.る;おもんぱか.る
拡,N1,カク;コウ,ひろ.がる;ひろ.げる;ひろ.める
肥,N1,ヒ,こ.える;こえ;こ.やす;こ.やし;ふと.る
枠,N1,,わく
脈,N1,ミャク,すじ
潮,N1,チョウ,しお;うしお
露,N1,ロ;ロウ,つゆ
緩,N1,カン,ゆる.い;ゆる.やか;ゆる.む;ゆる.める
節,N1,セツ;セチ,ふし;-ぶし;のっと
鋼,N1,コウ,はがね
需,N1,ジュ,
縦,N1,ジュウ,たて
購,N1,コウ,
異,N1,イ,こと;こと.なる;け
充,N1,ジュウ,あ.てる;み.たす
眼,N1,ガン;ゲン,まなこ;め
貢,N1,コウ;ク,みつ.ぐ
却,N1,キャク,かえ.って;しりぞ.く;しりぞ.ける
端,N1,タン,はし;は;はた;-ばた;はな
獲,N1,カク,え.る
併,N1,ヘイ,あわ.せる
徹,N1,テツ,
衝,N1,ショウ,つ.く
焦,N1,ショウ,こ.げる;こ.がす;こ.がれる;あせ.る;じ.れる;じ.らす
奪,N1,ダツ,うば.う
浦,N1,ホ,うら
析,N1,セキ,
譲,N1,ジョウ,ゆず.る
称,N1,ショウ,たた.える;とな.える;あ.げる;かな.う;はか.り;はか.る;ほめ.る
挑,N1,チョウ,いど.む
誘,N1,ユウ,さそ.う;いざな.う
紛,N1,フン,まぎ.れる;-まぎ.れ;まぎ.らす;まぎ.らわす;まぎ.らわしい
潔,N1,ケツ,いさぎよ.い
促,N1,ソク,うなが.す
救,N1,キュウ,すく.う
仁,N1,ジン;ニ;ニン,
慎,N1,シン,つつし.む;つつ.ましい;つつし;つつし.み
控,N1,コウ,ひか.える;ひか.え
握,N1,アク,にぎ.る
俊,N1,シュン,
渋,N1,ジュウ;シュウ,しぶ;しぶ.い;しぶ.る
銃,N1,ジュウ,つつ
携,N1,ケイ,たずさ.える;たずさ.わる
診,N1,シン,み.る
託,N1,タク,かこつ.ける;かこ.つ;かこ.つける
撮,N1,サツ,と.る;つま.む;-ど.り
穴,N1,ケツ,あな
侵,N1,シン,おか.す
括,N1,カツ,くく.る
志,N1,シ,シリング;こころざ.す;こころざし
朗,N1,ロウ,ほが.らか;あき.らか
駆,N1,ク,か.ける;か.る
透,N1,トウ,す.く;す.かす;す.ける;とう.る;とう.す
津,N1,シン,つ
稲,N1,トウ;テ,いね;いな-
肺,N1,ハイ,
裂,N1,レツ,さ.く;さ.ける;-ぎ.れ
敏,N1,ビン,さとい
是,N1,ゼ;シ,これ;この;ここ
排,N1,ハイ,
裕,N1,ユウ,
堅,N1,ケン,かた.い;-がた.い
芝,N1,シ,しば
綱,N1,コウ,つな
扱,N1,ソウ;キュウ,あつか.い;あつか.う;あつか.る;こ.く
顧,N1,コ,かえり.みる
訟,N1,ショウ,
熟,N1,ジュク,う.れる
戒,N1,カイ,いまし.める
祉,N1,シ,
恩,N1,オン,
誉,N1,ヨ,ほま.れ;ほ.める
歓,N1,カン,よろこ.ぶ
勧,N1,カン;ケン,すす.める
騒,N1,ソウ,さわ.ぐ;うれい;さわ.がしい
陛,N1,ヘイ,
閥,N1,バツ,
甲,N1,コウ;カン,きのえ
揺,N1,ヨウ,ゆ.れる;ゆ.る;ゆ.らぐ;ゆ.るぐ;ゆ.する;ゆ.さぶる;ゆ.すぶる;うご.く
免,N1,メン,まぬか.れる;まぬが.れる
既,N1,キ,すで.に
薦,N1,セン,すす.める
隣,N1,リン,とな.る;となり
華,N1,カ;ケ,はな
範,N1,ハン,
隠,N1,イン;オン,かく.す;かく.し;かく.れる;よ.る
哲,N1,テツ,さとい;あきらか
杉,N1,サン,すぎ
釈,N1,シャク;セキ,とく;す.てる;ゆる.す
妥,N1,ダ,
威,N1,イ,おど.す;おど.し;おど.かす
糖,N1,トウ,
豪,N1,ゴウ,えら.い
滞,N1,タイ;テイ,とどこお.る
微,N1,ビ,かす.か
隆,N1,リュウ,
俵,N1,ヒョウ,たわら
症,N1,ショウ,
暫,N1,ザン,しばら.く
肝,N1,カン,きも
喚,N1,カン,わめ.く
妙,N1,ミョウ;ビョウ,たえ
索,N1,サク,
智,N1,チ,
襲,N1,シュウ,おそ.う;かさ.ね
覧,N1,ラン,み.る
懇,N1,コン,ねんご.ろ
柄,N1,ヘイ,がら;え;つか
奮,N1,フン,ふる.う
驚,N1,キョウ,おどろ.く;おどろ.かす
麻,N1,マ;マア,あさ
善,N1,ゼン,よ.い;い.い;よ.く;よし.とする
剤,N1,ザイ;スイ;セイ,かる;けず.る
瀬,N1,ライ,せ
趣,N1,シュ,おもむき;おもむ.く
陥,N1,カン,おちい.る;おとしい.れる
斎,N1,サイ,とき;つつし.む;ものいみ;い.む;いわ.う;いつ.く
貫,N1,カン,つらぬ.く;ぬ.く;ぬき
仙,N1,セン;セント,
慰,N1,イ,なぐさ.める;なぐさ.む
旬,N1,ジュン;シュン,
兼,N1,ケン,か.ねる;-か.ねる
旨,N1,シ,むね;うま.い
即,N1,ソク,つ.く;つ.ける;すなわ.ち
柳,N1,リュウ,やなぎ
偽,N1,ギ;カ,いつわ.る;にせ;いつわ.り
覇,N1,ハ;ハク,はたがしら
詳,N1,ショウ,くわ.しい;つまび.らか
抵,N1,テイ,
脅,N1,キョウ,おびや.かす;おど.す;おど.かす
后,N1,コウ;ゴ,きさき
茂,N1,モ,しげ.る
犠,N1,ギ;キ,いけにえ
距,N1,キョ,へだ.たる;けづめ
弘,N1,コウ;グ,ひろ.い
雅,N1,ガ,みや.び
飾,N1,ショク,かざ.る;かざ.り
班,N1,ハン,
網,N1,モウ,あみ
竜,N1,リュウ;リョウ;ロウ,たつ;いせ
繁,N1,ハン,しげ.る;しげ.く
翼,N1,ヨク,つばさ
魅,N1,ミ,
嫌,N1,ケン;ゲン,きら.う;きら.い;いや
斉,N1,セイ;サイ,そろ.う;ひと.しい;ひと.しく;あたる;はやい
敷,N1,フ,し.く;-し.き
擁,N1,ヨウ,
圏,N1,ケン,かこ.い
罰,N1,バツ;バチ;ハツ,ばっ.する
滅,N1,メツ,ほろ.びる;ほろ.ぶ;ほろ.ぼす
礎,N1,ソ,いしずえ
腐,N1,フ,くさ.る;-くさ.る;くさ.れる;くさ.れ;くさ.らす;くさ.す
脚,N1,キャク;キャ;カク,あし
尽,N1,ジン;サン,つ.きる;つ.くす;つ.かす;-づ.く;-ず.く;ことごと.く
僕,N1,ボク,しもべ
滑,N1,カツ;コツ,すべ.る;なめ.らか
孤,N1,コ,
炎,N1,エン,ほのお
賠,N1,バイ,
頑,N1,ガン,かたく.な
鎖,N1,サ,くさり;とざ.す
彩,N1,サイ,いろど.る
寸,N1,スン,
摩,N1,マ,ま.する;さす.る;す.る
励,N1,レイ,はげ.む;はげ.ます
彦,N1,ゲン,ひこ
輝,N1,キ,かがや.く
蓄,N1,チク,たくわ.える
軸,N1,ジク,
巡,N1,ジュン,めぐ.る;めぐ.り
稼,N1,カ,かせ.ぐ
磁,N1,ジ,
瞬,N1,シュン,またた.く;まじろ.ぐ
阿,N1,ア;オ,おもね.る;くま
砲,N1,ホウ,
噴,N1,フン,ふ.く
誇,N1,コ,ほこ.る
祥,N1,ショウ,さいわ.い;きざ.し;よ.い;つまび.らか
牲,N1,セイ,
秩,N1,チツ,
帝,N1,テイ,みかど
唆,N1,サ,そそ.る;そそのか.す
阻,N1,ソ,はば.む
泰,N1,タイ,
賄,N1,ワイ,まかな.う
撲,N1,ボク,
堀,N1,クツ,ほり
菊,N1,キク,
絞,N1,コウ,しぼ.る;し.める;し.まる
垂,N1,スイ,た.れる;た.らす;た.れ;-た.れ;なんなんと.す
李,N1,リ,すもも
縁,N1,エン;-ネン,ふち;ふち.どる;ゆかり;よすが;へり;えにし
唯,N1,ユイ;イ,ただ
浩,N1,コウ,おおき.い;ひろ.い
膨,N1,ボウ,ふく.らむ;ふく.れる
耐,N1,タイ,た.える
塾,N1,ジュク,
漏,N1,ロウ,も.る;も.れる;も.らす
仮,N1,カ;ケ,かり;かり-
慶,N1,ケイ,よろこ.び
猛,N1,モウ,
芳,N1,ホウ,かんば.しい
懲,N1,チョウ,こ.りる;こ.らす;こ.らしめる
剣,N1,ケン,つるぎ
穀,N1,コク,
彰,N1,ショウ,
棋,N1,キ,ご
恒,N1,コウ,つね;つねに
揚,N1,ヨウ,あ.げる;-あ.げ;あ.がる
冒,N1,ボウ,おか.す
倫,N1,リン,
陳,N1,チン,ひ.ねる
憶,N1,オク,
潜,N1,セン,ひそ.む;もぐ.る;かく.れる;くぐ.る;ひそ.める
克,N1,コク,か.つ
岳,N1,ガク,たけ
概,N1,ガイ,おおむ.ね
拘,N1,コウ,かか.わる
黙,N1,モク;ボク,だま.る;もだ.す
須,N1,ス;シュ,すべから.く;すべし;ひげ;まつ;もち.いる;もと.める
偏,N1,ヘン,かたよ.る
雰,N1,フン,
遇,N1,グウ,あ.う
諮,N1,シ,はか.る
卓,N1,タク,
亀,N1,キ;キュウ;キン,かめ
糧,N1,リョウ;ロウ,かて
腸,N1,チョウ,はらわた;わた
簿,N1,ボ,
炉,N1,ロ,いろり
殊,N1,シュ,こと
殖,N1,ショク,ふ.える;ふ.やす
艦,N1,カン,
輩,N1,ハイ,-ばら;やから;やかい;ともがら
奇,N1,キ,く.しき;あや.しい;くし;めずら.しい
慢,N1,マン,
鶴,N1,カク,つる
謀,N1,ボウ;ム,はか.る;たばか.る;はかりごと
舌,N1,ゼツ,した
拍,N1,ハク;ヒョウ,
寛,N1,カン,くつろ.ぐ;ひろ.い;ゆる.やか
覆,N1,フク,おお.う;くつがえ.す;くつがえ.る
胞,N1,ホウ,
泣,N1,キュウ,な.く
隔,N1,カク,へだ.てる;へだ.たる
浄,N1,ジョウ;セイ,きよ.める;きよ.い
没,N1,ボツ;モツ,おぼ.れる;しず.む;ない
暇,N1,カ,ひま;いとま
貞,N1,テイ;ジョウ,ただし.い;さだ
鑑,N1,カン,かんが.みる;かがみ
陰,N1,イン,かげ;かげ.る
銘,N1,メイ,
随,N1,ズイ,まにま.に;したが.う
烈,N1,レツ,はげ.しい
尋,N1,ジン,たず.ねる;ひろ
稿,N1,コウ,わら;したがき
丹,N1,タン,に
啓,N1,ケイ,ひら.く;さと.す
丘,N1,キュウ,おか
棟,N1,トウ,むね;むな-
壌,N1,ジョウ,つち
漫,N1,マン,みだり.に;そぞ.ろ
玄,N1,ゲン,くろ;くろ.い
粘,N1,ネン,ねば.る
悟,N1,ゴ,さと.る
舗,N1,ホ,
妊,N1,ニン;ジン,はら.む;みごも.る
騰,N1,トウ,あが.る;のぼ.る
遂,N1,スイ,と.げる;つい.に
狂,N1,キョウ,くる.う;くる.おしい;くるお.しい
緯,N1,イ,よこいと;ぬき
培,N1,バイ,つちか.う
衰,N1,スイ,おとろ.える
艇,N1,テイ,
屈,N1,クツ,かが.む;かが.める
淡,N1,タン,あわ.い
宏,N1,コウ,ひろ.い
絹,N1,ケン,きぬ
抽,N1,チュウ,ひき-
披,N1,ヒ,
廷,N1,テイ,
錦,N1,キン,にしき
准,N1,ジュン,
賃,N1,チン,
奨,N1,ショウ;ソウ,すす.める
浸,N1,シン,ひた.す;ひた.る;つ.かる
剰,N1,ジョウ,あまつさえ;あま.り;あま.る
胆,N1,タン,きも
繊,N1,セン,
駒,N1,ク,こま
虚,N1,キョ;コ,むな.しい;うつ.ろ
尺,N1,シャク;セキ,さし
霊,N1,レイ;リョウ,たま
悔,N1,カイ,く.いる;く.やむ;くや.しい
諭,N1,ユ,さと.す
惨,N1,サン;ザン,みじ.め;いた.む;むご.い
虐,N1,ギャク,しいた.げる
翻,N1,ホン;ハン,ひるがえ.る;ひるがえ.す
墜,N1,ツイ,お.ちる;お.つ
沼,N1,ショウ,ぬま
据,N1,キョ,す.える;す.わる
徐,N1,ジョ,おもむ.ろに
搭,N1,トウ,
盾,N1,ジュン,たて
滝,N1,ロウ;ソウ,たき
軌,N1,キ,
妨,N1,ボウ,さまた.げる
之,N1,シ,の;これ;ゆく;この
擦,N1,サツ,す.る;す.れる;-ず.れ;こす.る;こす.れる
鯨,N1,ゲイ,くじら
荘,N1,ソウ;ショウ;チャン,ほうき;おごそ.か
諾,N1,ダク,
雷,N1,ライ,かみなり;いかずち;いかづち
漂,N1,ヒョウ,ただよ.う
懐,N1,カイ;エ,ふところ;なつ.かしい;なつ.かしむ;なつ.く;なつ.ける;なず.ける;いだ.く;おも.う
勘,N1,カン,
栽,N1,サイ,
拐,N1,カイ,
駄,N1,ダ;タ,
添,N1,テン,そ.える;そ.う
冠,N1,カン,かんむり
斜,N1,シャ,なな.め;はす
宙,N1,チュウ,
浪,N1,ロウ,
亜,N1,ア,つ.ぐ
詐,N1,サ,いつわ.る
壇,N1,ダン;タン,
勲,N1,クン,いさお
魔,N1,マ,
酬,N1,シュウ;シュ;トウ,むく.いる
紫,N1,シ,むらさき
紋,N1,モン,
卸,N1,シャ,おろ.す;おろし;おろ.し
欄,N1,ラン,てすり
逸,N1,イツ,そ.れる;そ.らす;はぐ.れる
操,N1,ソウ;サン,みさお;あやつ.る
涯,N1,ガイ,はて
拓,N1,タク,ひら.く
獄,N1,ゴク,
尚,N1,ショウ,なお
彫,N1,チョウ,ほ.る;-ぼ.り
穏,N1,オン,おだ.やか
顕,N1,ケン,あきらか;あらわ.れる
巧,N1,コウ,たく.み;たく.む;うま.い
矛,N1,ム;ボウ,ほこ
垣,N1,エン,かき
欺,N1,ギ,あざむ.く
釣,N1,チョウ,つ.る;つ.り;つ.り-
昌,N1,ショウ,さかん
粛,N1,シュク;スク,つつし.む
愚,N1,グ,おろ.か
遭,N1,ソウ,あ.う;あ.わせる
架,N1,カ,か.ける;か.かる
鬼,N1,キ,おに;おに-
庶,N1,ショ,
